Id,DateAware,DateSubmitted,DataBreachCause,DateStart,DateEnd,Name,CyberattackType,WashingtoniansAffected,IndustryType,BusinessType,InformationType,Year,WashingtoniansAffectedRange,BreachLifecycleRange,EntityState
9714,05/17/2017 12:00:00 AM,06/20/2017 12:00:00 AM,Cyberattack,2016-11-01T00:00:00,2017-03-30T00:00:00,Home Point Financial Corporation,Phishing,815.0,Finance,,Driver's License or Washington ID Card Number,2017,500-999,100-199,
9714,05/17/2017 12:00:00 AM,06/20/2017 12:00:00 AM,Cyberattack,2016-11-01T00:00:00,2017-03-30T00:00:00,Home Point Financial Corporation,Phishing,815.0,Finance,,Financial & Banking Information,2017,500-999,100-199,
9714,05/17/2017 12:00:00 AM,06/20/2017 12:00:00 AM,Cyberattack,2016-11-01T00:00:00,2017-03-30T00:00:00,Home Point Financial Corporation,Phishing,815.0,Finance,,Full Date of Birth,2017,500-999,100-199,
9714,05/17/2017 12:00:00 AM,06/20/2017 12:00:00 AM,Cyberattack,2016-11-01T00:00:00,2017-03-30T00:00:00,Home Point Financial Corporation,Phishing,815.0,Finance,,Other,2017,500-999,100-199,
9716,03/14/2017 12:00:00 AM,06/22/2017 12:00:00 AM,Unauthorized Access,,,Caliber Home Loans,,20437.0,Finance,,Name,2017,"10,000-49,999",Unknown,
9716,03/14/2017 12:00:00 AM,06/22/2017 12:00:00 AM,Unauthorized Access,,,Caliber Home Loans,,20437.0,Finance,,Social Security Number,2017,"10,000-49,999",Unknown,
9716,03/14/2017 12:00:00 AM,06/22/2017 12:00:00 AM,Unauthorized Access,,,Caliber Home Loans,,20437.0,Finance,,Driver's License or Washington ID Card Number,2017,"10,000-49,999",Unknown,
9716,03/14/2017 12:00:00 AM,06/22/2017 12:00:00 AM,Unauthorized Access,,,Caliber Home Loans,,20437.0,Finance,,Financial & Banking Information,2017,"10,000-49,999",Unknown,
9716,03/14/2017 12:00:00 AM,06/22/2017 12:00:00 AM,Unauthorized Access,,,Caliber Home Loans,,20437.0,Finance,,Full Date of Birth,2017,"10,000-49,999",Unknown,
9716,03/14/2017 12:00:00 AM,06/22/2017 12:00:00 AM,Unauthorized Access,,,Caliber Home Loans,,20437.0,Finance,,Unique Private Key (e.g. used to authenticate or sign an electronic record),2017,"10,000-49,999",Unknown,
9716,03/14/2017 12:00:00 AM,06/22/2017 12:00:00 AM,Unauthorized Access,,,Caliber Home Loans,,20437.0,Finance,,Military ID Number,2017,"10,000-49,999",Unknown,
9717,06/06/2017 12:00:00 AM,06/30/2017 12:00:00 AM,Unauthorized Access,2016-08-10T00:00:00,2017-03-09T00:00:00,Preferred Hotel Group,,2370.0,Business,Hospitality,Name,2017,"1,000-9,999",300-399,
9717,06/06/2017 12:00:00 AM,06/30/2017 12:00:00 AM,Unauthorized Access,2016-08-10T00:00:00,2017-03-09T00:00:00,Preferred Hotel Group,,2370.0,Business,Hospitality,Financial & Banking Information,2017,"1,000-9,999",300-399,
9718,06/06/2017 12:00:00 AM,07/05/2017 12:00:00 AM,Cyberattack,2016-08-29T00:00:00,2017-03-09T00:00:00,Loews Hotels & Co. ,Malware,912.0,Business,Hospitality,Name,2017,500-999,200-299,
9718,06/06/2017 12:00:00 AM,07/05/2017 12:00:00 AM,Cyberattack,2016-08-29T00:00:00,2017-03-09T00:00:00,Loews Hotels & Co. ,Malware,912.0,Business,Hospitality,Financial & Banking Information,2017,500-999,200-299,
9718,06/06/2017 12:00:00 AM,07/05/2017 12:00:00 AM,Cyberattack,2016-08-29T00:00:00,2017-03-09T00:00:00,Loews Hotels & Co. ,Malware,912.0,Business,Hospitality,Other,2017,500-999,200-299,
9719,06/06/2017 12:00:00 AM,07/06/2017 12:00:00 AM,Cyberattack,2016-08-10T00:00:00,2017-03-09T00:00:00,Four Seasons Hotels Limited,Unclear/unknown,636.0,Business,Hospitality,Name,2017,500-999,300-399,
9719,06/06/2017 12:00:00 AM,07/06/2017 12:00:00 AM,Cyberattack,2016-08-10T00:00:00,2017-03-09T00:00:00,Four Seasons Hotels Limited,Unclear/unknown,636.0,Business,Hospitality,Financial & Banking Information,2017,500-999,300-399,
9719,06/06/2017 12:00:00 AM,07/06/2017 12:00:00 AM,Cyberattack,2016-08-10T00:00:00,2017-03-09T00:00:00,Four Seasons Hotels Limited,Unclear/unknown,636.0,Business,Hospitality,Other,2017,500-999,300-399,
9720,06/13/2017 12:00:00 AM,07/10/2017 12:00:00 AM,Cyberattack,2017-06-13T00:00:00,2017-06-21T00:00:00,Pacific Science Center,Phishing,605.0,Business,Entertainment,Name,2017,500-999,1-99,
9720,06/13/2017 12:00:00 AM,07/10/2017 12:00:00 AM,Cyberattack,2017-06-13T00:00:00,2017-06-21T00:00:00,Pacific Science Center,Phishing,605.0,Business,Entertainment,Social Security Number,2017,500-999,1-99,
9707,02/06/2017 12:00:00 AM,05/24/2017 12:00:00 AM,Cyberattack,2016-02-26T00:00:00,2016-12-05T00:00:00,"Incipio, LLC",Unclear/unknown,1650.0,Business,Accessories,Financial & Banking Information,2017,"1,000-9,999",300-399,
9707,02/06/2017 12:00:00 AM,05/24/2017 12:00:00 AM,Cyberattack,2016-02-26T00:00:00,2016-12-05T00:00:00,"Incipio, LLC",Unclear/unknown,1650.0,Business,Accessories,Name,2017,"1,000-9,999",300-399,
9706,05/09/2017 12:00:00 AM,05/19/2017 12:00:00 AM,Theft or Mistake,2017-05-09T00:00:00,2017-05-09T00:00:00,Zillow,,1086.0,Business,Real Estate,Other,2017,"1,000-9,999",0,
9706,05/09/2017 12:00:00 AM,05/19/2017 12:00:00 AM,Theft or Mistake,2017-05-09T00:00:00,2017-05-09T00:00:00,Zillow,,1086.0,Business,Real Estate,Social Security Number,2017,"1,000-9,999",0,
9706,05/09/2017 12:00:00 AM,05/19/2017 12:00:00 AM,Theft or Mistake,2017-05-09T00:00:00,2017-05-09T00:00:00,Zillow,,1086.0,Business,Real Estate,Name,2017,"1,000-9,999",0,
9705,,05/17/2017 12:00:00 AM,Cyberattack,2017-01-30T00:00:00,2017-04-11T00:00:00,"Rite Aid Online Store, Inc.",Malware,657.0,Business,Retail,Other,2017,500-999,Unknown,
9705,,05/17/2017 12:00:00 AM,Cyberattack,2017-01-30T00:00:00,2017-04-11T00:00:00,"Rite Aid Online Store, Inc.",Malware,657.0,Business,Retail,Financial & Banking Information,2017,500-999,Unknown,
9705,,05/17/2017 12:00:00 AM,Cyberattack,2017-01-30T00:00:00,2017-04-11T00:00:00,"Rite Aid Online Store, Inc.",Malware,657.0,Business,Retail,Name,2017,500-999,Unknown,
9704,04/03/2017 12:00:00 AM,05/16/2017 12:00:00 AM,Cyberattack,,,"Nicopure Labs, LLC",Malware,541.0,Business,Consumable,Other,2017,500-999,Unknown,
9704,04/03/2017 12:00:00 AM,05/16/2017 12:00:00 AM,Cyberattack,,,"Nicopure Labs, LLC",Malware,541.0,Business,Consumable,Financial & Banking Information,2017,500-999,Unknown,
9704,04/03/2017 12:00:00 AM,05/16/2017 12:00:00 AM,Cyberattack,,,"Nicopure Labs, LLC",Malware,541.0,Business,Consumable,Name,2017,500-999,Unknown,
9703,04/24/2017 12:00:00 AM,05/15/2017 12:00:00 AM,Cyberattack,2016-01-04T00:00:00,2017-03-29T00:00:00,TALX Corporation,Other,1467.0,Finance,,Other,2017,"1,000-9,999",400-499,
9703,04/24/2017 12:00:00 AM,05/15/2017 12:00:00 AM,Cyberattack,2016-01-04T00:00:00,2017-03-29T00:00:00,TALX Corporation,Other,1467.0,Finance,,Full Date of Birth,2017,"1,000-9,999",400-499,
9703,04/24/2017 12:00:00 AM,05/15/2017 12:00:00 AM,Cyberattack,2016-01-04T00:00:00,2017-03-29T00:00:00,TALX Corporation,Other,1467.0,Finance,,Financial & Banking Information,2017,"1,000-9,999",400-499,
9703,04/24/2017 12:00:00 AM,05/15/2017 12:00:00 AM,Cyberattack,2016-01-04T00:00:00,2017-03-29T00:00:00,TALX Corporation,Other,1467.0,Finance,,Social Security Number,2017,"1,000-9,999",400-499,
9703,04/24/2017 12:00:00 AM,05/15/2017 12:00:00 AM,Cyberattack,2016-01-04T00:00:00,2017-03-29T00:00:00,TALX Corporation,Other,1467.0,Finance,,Name,2017,"1,000-9,999",400-499,
9702,02/23/2017 12:00:00 AM,05/15/2017 12:00:00 AM,Cyberattack,2016-12-20T00:00:00,2017-03-03T00:00:00,Kuru Footwear,Malware,513.0,Business,Clothing,Other,2017,500-999,1-99,
9702,02/23/2017 12:00:00 AM,05/15/2017 12:00:00 AM,Cyberattack,2016-12-20T00:00:00,2017-03-03T00:00:00,Kuru Footwear,Malware,513.0,Business,Clothing,Financial & Banking Information,2017,500-999,1-99,
9702,02/23/2017 12:00:00 AM,05/15/2017 12:00:00 AM,Cyberattack,2016-12-20T00:00:00,2017-03-03T00:00:00,Kuru Footwear,Malware,513.0,Business,Clothing,Name,2017,500-999,1-99,
9701,04/17/2017 12:00:00 AM,05/12/2017 12:00:00 AM,Cyberattack,2016-11-14T00:00:00,2017-04-17T00:00:00,Indigo Wild,Malware,501.0,Business,Retail,Other,2017,500-999,100-199,
9701,04/17/2017 12:00:00 AM,05/12/2017 12:00:00 AM,Cyberattack,2016-11-14T00:00:00,2017-04-17T00:00:00,Indigo Wild,Malware,501.0,Business,Retail,Financial & Banking Information,2017,500-999,100-199,
9701,04/17/2017 12:00:00 AM,05/12/2017 12:00:00 AM,Cyberattack,2016-11-14T00:00:00,2017-04-17T00:00:00,Indigo Wild,Malware,501.0,Business,Retail,Name,2017,500-999,100-199,
9700,04/24/2017 12:00:00 AM,05/12/2017 12:00:00 AM,Cyberattack,2016-04-04T00:00:00,2017-03-01T00:00:00,Brooks Brothers,Skimmers,,Business,Clothing,Financial & Banking Information,2017,Unknown,300-399,
9700,04/24/2017 12:00:00 AM,05/12/2017 12:00:00 AM,Cyberattack,2016-04-04T00:00:00,2017-03-01T00:00:00,Brooks Brothers,Skimmers,,Business,Clothing,Name,2017,Unknown,300-399,
9694,01/26/2017 12:00:00 AM,04/18/2017 12:00:00 AM,Cyberattack,2017-01-23T00:00:00,2017-02-22T00:00:00,Pacific Lutheran University,Phishing,813.0,Education,,Other,2017,500-999,1-99,
9694,01/26/2017 12:00:00 AM,04/18/2017 12:00:00 AM,Cyberattack,2017-01-23T00:00:00,2017-02-22T00:00:00,Pacific Lutheran University,Phishing,813.0,Education,,Full Date of Birth,2017,500-999,1-99,
9694,01/26/2017 12:00:00 AM,04/18/2017 12:00:00 AM,Cyberattack,2017-01-23T00:00:00,2017-02-22T00:00:00,Pacific Lutheran University,Phishing,813.0,Education,,Financial & Banking Information,2017,500-999,1-99,
9694,01/26/2017 12:00:00 AM,04/18/2017 12:00:00 AM,Cyberattack,2017-01-23T00:00:00,2017-02-22T00:00:00,Pacific Lutheran University,Phishing,813.0,Education,,Driver's License or Washington ID Card Number,2017,500-999,1-99,
9694,01/26/2017 12:00:00 AM,04/18/2017 12:00:00 AM,Cyberattack,2017-01-23T00:00:00,2017-02-22T00:00:00,Pacific Lutheran University,Phishing,813.0,Education,,Social Security Number,2017,500-999,1-99,
9694,01/26/2017 12:00:00 AM,04/18/2017 12:00:00 AM,Cyberattack,2017-01-23T00:00:00,2017-02-22T00:00:00,Pacific Lutheran University,Phishing,813.0,Education,,Name,2017,500-999,1-99,
9693,,04/14/2017 12:00:00 AM,Cyberattack,2016-09-29T00:00:00,2016-12-29T00:00:00,Six Continents Hotels,Malware,13825.0,Business,Hospitality,Financial & Banking Information,2017,"10,000-49,999",Unknown,
9693,,04/14/2017 12:00:00 AM,Cyberattack,2016-09-29T00:00:00,2016-12-29T00:00:00,Six Continents Hotels,Malware,13825.0,Business,Hospitality,Name,2017,"10,000-49,999",Unknown,
9692,03/24/2017 12:00:00 AM,04/12/2017 12:00:00 AM,Cyberattack,2016-10-01T00:00:00,2017-01-01T00:00:00,"ILKB, LLC",Other,1140.0,Business,Fitness,Other,2017,"1,000-9,999",100-199,
9692,03/24/2017 12:00:00 AM,04/12/2017 12:00:00 AM,Cyberattack,2016-10-01T00:00:00,2017-01-01T00:00:00,"ILKB, LLC",Other,1140.0,Business,Fitness,Financial & Banking Information,2017,"1,000-9,999",100-199,
9692,03/24/2017 12:00:00 AM,04/12/2017 12:00:00 AM,Cyberattack,2016-10-01T00:00:00,2017-01-01T00:00:00,"ILKB, LLC",Other,1140.0,Business,Fitness,Name,2017,"1,000-9,999",100-199,
9691,02/11/2017 12:00:00 AM,04/09/2017 12:00:00 AM,Cyberattack,2017-01-30T00:00:00,2017-01-30T00:00:00,Lake Kennedy McCulluch CPAs PS,Other,1688.0,Finance,,Other,2017,"1,000-9,999",1-99,
9691,02/11/2017 12:00:00 AM,04/09/2017 12:00:00 AM,Cyberattack,2017-01-30T00:00:00,2017-01-30T00:00:00,Lake Kennedy McCulluch CPAs PS,Other,1688.0,Finance,,Full Date of Birth,2017,"1,000-9,999",1-99,
9691,02/11/2017 12:00:00 AM,04/09/2017 12:00:00 AM,Cyberattack,2017-01-30T00:00:00,2017-01-30T00:00:00,Lake Kennedy McCulluch CPAs PS,Other,1688.0,Finance,,Financial & Banking Information,2017,"1,000-9,999",1-99,
9691,02/11/2017 12:00:00 AM,04/09/2017 12:00:00 AM,Cyberattack,2017-01-30T00:00:00,2017-01-30T00:00:00,Lake Kennedy McCulluch CPAs PS,Other,1688.0,Finance,,Social Security Number,2017,"1,000-9,999",1-99,
9691,02/11/2017 12:00:00 AM,04/09/2017 12:00:00 AM,Cyberattack,2017-01-30T00:00:00,2017-01-30T00:00:00,Lake Kennedy McCulluch CPAs PS,Other,1688.0,Finance,,Name,2017,"1,000-9,999",1-99,
9690,02/06/2017 12:00:00 AM,04/04/2017 12:00:00 AM,Cyberattack,2016-02-26T00:00:00,2016-12-05T00:00:00,Tempur-Pedic,Malware,7366.0,Business,Manufacturing,Other,2017,"1,000-9,999",300-399,
9690,02/06/2017 12:00:00 AM,04/04/2017 12:00:00 AM,Cyberattack,2016-02-26T00:00:00,2016-12-05T00:00:00,Tempur-Pedic,Malware,7366.0,Business,Manufacturing,Financial & Banking Information,2017,"1,000-9,999",300-399,
9690,02/06/2017 12:00:00 AM,04/04/2017 12:00:00 AM,Cyberattack,2016-02-26T00:00:00,2016-12-05T00:00:00,Tempur-Pedic,Malware,7366.0,Business,Manufacturing,Name,2017,"1,000-9,999",300-399,
9689,02/10/2017 12:00:00 AM,03/27/2017 12:00:00 AM,Cyberattack,,,"Easy Breathe, Inc.",Unclear/unknown,2034.0,Business,Other,Other,2017,"1,000-9,999",Unknown,
9689,02/10/2017 12:00:00 AM,03/27/2017 12:00:00 AM,Cyberattack,,,"Easy Breathe, Inc.",Unclear/unknown,2034.0,Business,Other,Financial & Banking Information,2017,"1,000-9,999",Unknown,
9689,02/10/2017 12:00:00 AM,03/27/2017 12:00:00 AM,Cyberattack,,,"Easy Breathe, Inc.",Unclear/unknown,2034.0,Business,Other,Name,2017,"1,000-9,999",Unknown,
9687,02/13/2017 12:00:00 AM,03/16/2017 12:00:00 AM,Unauthorized Access,2017-02-11T00:00:00,2017-02-13T00:00:00,"Northwest Christian Schools, Inc.",,526.0,Education,,Other,2017,500-999,1-99,
9687,02/13/2017 12:00:00 AM,03/16/2017 12:00:00 AM,Unauthorized Access,2017-02-11T00:00:00,2017-02-13T00:00:00,"Northwest Christian Schools, Inc.",,526.0,Education,,Full Date of Birth,2017,500-999,1-99,
9687,02/13/2017 12:00:00 AM,03/16/2017 12:00:00 AM,Unauthorized Access,2017-02-11T00:00:00,2017-02-13T00:00:00,"Northwest Christian Schools, Inc.",,526.0,Education,,Financial & Banking Information,2017,500-999,1-99,
9687,02/13/2017 12:00:00 AM,03/16/2017 12:00:00 AM,Unauthorized Access,2017-02-11T00:00:00,2017-02-13T00:00:00,"Northwest Christian Schools, Inc.",,526.0,Education,,Social Security Number,2017,500-999,1-99,
9687,02/13/2017 12:00:00 AM,03/16/2017 12:00:00 AM,Unauthorized Access,2017-02-11T00:00:00,2017-02-13T00:00:00,"Northwest Christian Schools, Inc.",,526.0,Education,,Name,2017,500-999,1-99,
9686,02/06/2017 12:00:00 AM,03/10/2017 12:00:00 AM,Unauthorized Access,2016-02-26T00:00:00,2016-12-05T00:00:00,Bambeco Inc.,,2176.0,Business,Home,Other,2017,"1,000-9,999",300-399,
9686,02/06/2017 12:00:00 AM,03/10/2017 12:00:00 AM,Unauthorized Access,2016-02-26T00:00:00,2016-12-05T00:00:00,Bambeco Inc.,,2176.0,Business,Home,Financial & Banking Information,2017,"1,000-9,999",300-399,
9686,02/06/2017 12:00:00 AM,03/10/2017 12:00:00 AM,Unauthorized Access,2016-02-26T00:00:00,2016-12-05T00:00:00,Bambeco Inc.,,2176.0,Business,Home,Name,2017,"1,000-9,999",300-399,
9685,02/06/2017 12:00:00 AM,03/08/2017 12:00:00 AM,Cyberattack,2016-02-26T00:00:00,2016-12-05T00:00:00,Atlantic Cigar,Malware,803.0,Business,Retail,Other,2017,500-999,300-399,
9685,02/06/2017 12:00:00 AM,03/08/2017 12:00:00 AM,Cyberattack,2016-02-26T00:00:00,2016-12-05T00:00:00,Atlantic Cigar,Malware,803.0,Business,Retail,Financial & Banking Information,2017,500-999,300-399,
9685,02/06/2017 12:00:00 AM,03/08/2017 12:00:00 AM,Cyberattack,2016-02-26T00:00:00,2016-12-05T00:00:00,Atlantic Cigar,Malware,803.0,Business,Retail,Name,2017,500-999,300-399,
9684,02/06/2017 12:00:00 AM,03/08/2017 12:00:00 AM,Cyberattack,2016-12-14T00:00:00,2017-02-06T00:00:00,prAna,Malware,18172.0,Business,Clothing,Other,2017,"10,000-49,999",1-99,
9684,02/06/2017 12:00:00 AM,03/08/2017 12:00:00 AM,Cyberattack,2016-12-14T00:00:00,2017-02-06T00:00:00,prAna,Malware,18172.0,Business,Clothing,Username and Password/Security Question Answers,2017,"10,000-49,999",1-99,
9684,02/06/2017 12:00:00 AM,03/08/2017 12:00:00 AM,Cyberattack,2016-12-14T00:00:00,2017-02-06T00:00:00,prAna,Malware,18172.0,Business,Clothing,Financial & Banking Information,2017,"10,000-49,999",1-99,
9684,02/06/2017 12:00:00 AM,03/08/2017 12:00:00 AM,Cyberattack,2016-12-14T00:00:00,2017-02-06T00:00:00,prAna,Malware,18172.0,Business,Clothing,Name,2017,"10,000-49,999",1-99,
9683,02/22/2017 12:00:00 AM,03/07/2017 12:00:00 AM,Unauthorized Access,2017-02-22T00:00:00,2017-02-22T00:00:00,Russell Investments,,1291.0,Finance,,Other,2017,"1,000-9,999",0,
9683,02/22/2017 12:00:00 AM,03/07/2017 12:00:00 AM,Unauthorized Access,2017-02-22T00:00:00,2017-02-22T00:00:00,Russell Investments,,1291.0,Finance,,Health Insurance Policy or ID Number,2017,"1,000-9,999",0,
9683,02/22/2017 12:00:00 AM,03/07/2017 12:00:00 AM,Unauthorized Access,2017-02-22T00:00:00,2017-02-22T00:00:00,Russell Investments,,1291.0,Finance,,Full Date of Birth,2017,"1,000-9,999",0,
9683,02/22/2017 12:00:00 AM,03/07/2017 12:00:00 AM,Unauthorized Access,2017-02-22T00:00:00,2017-02-22T00:00:00,Russell Investments,,1291.0,Finance,,Social Security Number,2017,"1,000-9,999",0,
9683,02/22/2017 12:00:00 AM,03/07/2017 12:00:00 AM,Unauthorized Access,2017-02-22T00:00:00,2017-02-22T00:00:00,Russell Investments,,1291.0,Finance,,Name,2017,"1,000-9,999",0,
9682,02/06/2017 12:00:00 AM,03/06/2017 12:00:00 AM,Cyberattack,2016-02-26T00:00:00,2016-12-05T00:00:00,West Music Company,Malware,1495.0,Business,Retail,Other,2017,"1,000-9,999",300-399,
9682,02/06/2017 12:00:00 AM,03/06/2017 12:00:00 AM,Cyberattack,2016-02-26T00:00:00,2016-12-05T00:00:00,West Music Company,Malware,1495.0,Business,Retail,Financial & Banking Information,2017,"1,000-9,999",300-399,
9682,02/06/2017 12:00:00 AM,03/06/2017 12:00:00 AM,Cyberattack,2016-02-26T00:00:00,2016-12-05T00:00:00,West Music Company,Malware,1495.0,Business,Retail,Name,2017,"1,000-9,999",300-399,
9681,02/06/2017 12:00:00 AM,02/25/2017 12:00:00 AM,Cyberattack,2016-02-26T00:00:00,2016-12-05T00:00:00,"Movie Mars, Inc.",Malware,524.0,Business,Retail,Other,2017,500-999,300-399,
9681,02/06/2017 12:00:00 AM,02/25/2017 12:00:00 AM,Cyberattack,2016-02-26T00:00:00,2016-12-05T00:00:00,"Movie Mars, Inc.",Malware,524.0,Business,Retail,Financial & Banking Information,2017,500-999,300-399,
9681,02/06/2017 12:00:00 AM,02/25/2017 12:00:00 AM,Cyberattack,2016-02-26T00:00:00,2016-12-05T00:00:00,"Movie Mars, Inc.",Malware,524.0,Business,Retail,Name,2017,500-999,300-399,
9680,02/06/2017 12:00:00 AM,02/25/2017 12:00:00 AM,Cyberattack,2016-02-26T00:00:00,2016-12-05T00:00:00,"Century, LCC",Malware,639.0,Business,Retail,Other,2017,500-999,300-399,
9680,02/06/2017 12:00:00 AM,02/25/2017 12:00:00 AM,Cyberattack,2016-02-26T00:00:00,2016-12-05T00:00:00,"Century, LCC",Malware,639.0,Business,Retail,Financial & Banking Information,2017,500-999,300-399,
9680,02/06/2017 12:00:00 AM,02/25/2017 12:00:00 AM,Cyberattack,2016-02-26T00:00:00,2016-12-05T00:00:00,"Century, LCC",Malware,639.0,Business,Retail,Name,2017,500-999,300-399,
9679,02/06/2017 12:00:00 AM,02/25/2017 12:00:00 AM,Cyberattack,2016-02-26T00:00:00,2016-12-05T00:00:00,"Plow and Hearth, LLC",Malware,1274.0,Business,Home,Other,2017,"1,000-9,999",300-399,
9679,02/06/2017 12:00:00 AM,02/25/2017 12:00:00 AM,Cyberattack,2016-02-26T00:00:00,2016-12-05T00:00:00,"Plow and Hearth, LLC",Malware,1274.0,Business,Home,Financial & Banking Information,2017,"1,000-9,999",300-399,
9679,02/06/2017 12:00:00 AM,02/25/2017 12:00:00 AM,Cyberattack,2016-02-26T00:00:00,2016-12-05T00:00:00,"Plow and Hearth, LLC",Malware,1274.0,Business,Home,Name,2017,"1,000-9,999",300-399,
9678,02/06/2017 12:00:00 AM,02/25/2017 12:00:00 AM,Cyberattack,2016-02-26T00:00:00,2016-12-05T00:00:00,"Vapour Organic Beauty, LLC",Malware,847.0,Business,Cosmetic,Other,2017,500-999,300-399,
9678,02/06/2017 12:00:00 AM,02/25/2017 12:00:00 AM,Cyberattack,2016-02-26T00:00:00,2016-12-05T00:00:00,"Vapour Organic Beauty, LLC",Malware,847.0,Business,Cosmetic,Financial & Banking Information,2017,500-999,300-399,
9678,02/06/2017 12:00:00 AM,02/25/2017 12:00:00 AM,Cyberattack,2016-02-26T00:00:00,2016-12-05T00:00:00,"Vapour Organic Beauty, LLC",Malware,847.0,Business,Cosmetic,Name,2017,500-999,300-399,
9677,02/06/2017 12:00:00 AM,02/25/2017 12:00:00 AM,Cyberattack,2016-02-26T00:00:00,2016-12-05T00:00:00,"Blue Mercury, Inc.",Malware,778.0,Business,Cosmetic,Other,2017,500-999,300-399,
9677,02/06/2017 12:00:00 AM,02/25/2017 12:00:00 AM,Cyberattack,2016-02-26T00:00:00,2016-12-05T00:00:00,"Blue Mercury, Inc.",Malware,778.0,Business,Cosmetic,Financial & Banking Information,2017,500-999,300-399,
9677,02/06/2017 12:00:00 AM,02/25/2017 12:00:00 AM,Cyberattack,2016-02-26T00:00:00,2016-12-05T00:00:00,"Blue Mercury, Inc.",Malware,778.0,Business,Cosmetic,Name,2017,500-999,300-399,
9676,02/06/2017 12:00:00 AM,02/25/2017 12:00:00 AM,Cyberattack,2016-02-26T00:00:00,2016-12-05T00:00:00,"Nutrex Hawaii, Inc.",Malware,725.0,Business,Consumable,Other,2017,500-999,300-399,
9676,02/06/2017 12:00:00 AM,02/25/2017 12:00:00 AM,Cyberattack,2016-02-26T00:00:00,2016-12-05T00:00:00,"Nutrex Hawaii, Inc.",Malware,725.0,Business,Consumable,Financial & Banking Information,2017,500-999,300-399,
9676,02/06/2017 12:00:00 AM,02/25/2017 12:00:00 AM,Cyberattack,2016-02-26T00:00:00,2016-12-05T00:00:00,"Nutrex Hawaii, Inc.",Malware,725.0,Business,Consumable,Name,2017,500-999,300-399,
9675,02/06/2017 12:00:00 AM,02/25/2017 12:00:00 AM,Cyberattack,2016-02-26T00:00:00,2016-12-05T00:00:00,Alpha Industries,Malware,1013.0,Business,Clothing,Other,2017,"1,000-9,999",300-399,
9675,02/06/2017 12:00:00 AM,02/25/2017 12:00:00 AM,Cyberattack,2016-02-26T00:00:00,2016-12-05T00:00:00,Alpha Industries,Malware,1013.0,Business,Clothing,Financial & Banking Information,2017,"1,000-9,999",300-399,
9675,02/06/2017 12:00:00 AM,02/25/2017 12:00:00 AM,Cyberattack,2016-02-26T00:00:00,2016-12-05T00:00:00,Alpha Industries,Malware,1013.0,Business,Clothing,Name,2017,"1,000-9,999",300-399,
